レーティング差,レーティングが高いプレーヤーの勝ち,引分,レーティングが高いプレーヤーの負け
0~100,1072,427,829
100~200,1199,391,660
200~300,1342,356,471
300~400,1322,223,306
400~500,1110,144,187
500~600,854,86,105
600~700,801,47,65
700~800,386,22,27
800~900,178,7,8
900~1000,141,2,5
1000~1100,78,3,2
1100~1200,27,1,0
1200~1300,19,1,0
1300~1400,7,0,0
1400~1500,6,0,0
1500~1600,2,0,0
1600~1700,1,0,0
1700~1800,0,0,0
1800~1900,3,0,0
1900~2000,0,0,0
2000~2100,0,0,0
2100~2200,0,0,0
2200~2300,0,0,0
2300~2400,0,0,0
2400~2500,0,0,0
2500~2600,0,0,0
2600~2700,0,0,0
2700~2800,0,0,0
2800~2900,0,0,0
2900~3000,0,0,0
